Date,Region,Category,Product,Salesperson,Units,Revenue,Cost
2024-01-23,West,Laptops,Dell XPS 13,Owen Fitzgerald,5,7183.6,4620.19
2024-01-23,Southeast,Phones,Galaxy S24,Nadia Farouk,1,968.35,680.02
2024-01-23,Southeast,Accessories,Wireless Mouse,Owen Fitzgerald,2,3575.92,2692.3
2024-01-24,West,Phones,iPhone 15,Nadia Farouk,3,2320.89,1592.13
2024-01-25,Southeast,Laptops,MacBook Air,Julia Park,1,202.43,137.41
2024-01-25,Midwest,Laptops,MacBook Air,Carlos Mendes,8,12455.84,6976.08
2024-01-25,Northeast,Accessories,USB-C Cable,Carlos Mendes,4,4294.64,2856.06
2024-01-26,Northeast,Accessories,Wireless Mouse,Owen Fitzgerald,2,3374.48,2153.24
2024-01-27,Southeast,Laptops,Dell XPS 13,Carlos Mendes,2,1762.06,1032.87
2024-01-28,Northeast,Phones,Galaxy S24,Julia Park,8,1026.24,760.09
2024-01-29,Northeast,Laptops,ThinkPad X1,Julia Park,2,3055.82,2021.58
2024-01-29,West,Laptops,Dell XPS 13,Nadia Farouk,6,7290.48,5753.63
2024-01-30,Midwest,Phones,Pixel 8,Nadia Farouk,3,2791.29,1836.73
2024-01-30,Southeast,Laptops,MacBook Air,Carlos Mendes,8,11191.76,6432.33
2024-01-31,Southeast,Laptops,Dell XPS 13,Julia Park,2,2074.28,1621.45
2024-02-01,Northeast,Laptops,Dell XPS 13,Nadia Farouk,1,1619.77,1265.51
2024-02-01,Southeast,Phones,Galaxy S24,Carlos Mendes,4,1710.04,1001.36
2024-02-01,Northeast,Phones,Galaxy S24,Nadia Farouk,8,3727.84,2638.65
2024-02-01,Northeast,Phones,Galaxy S24,Nadia Farouk,3,1965.66,1552.03
2024-02-01,Southeast,Phones,Galaxy S24,Carlos Mendes,6,7144.68,5226.07
2024-02-02,Midwest,Accessories,Phone Case,Julia Park,5,457.35,342.46
2024-02-03,Southeast,Phones,Galaxy S24,Carlos Mendes,8,830.96,563.42
2024-02-03,Southeast,Accessories,Phone Case,Carlos Mendes,4,1950.76,1516.35
2024-02-05,Northeast,Laptops,MacBook Air,Owen Fitzgerald,7,8972.53,6605.84
2024-02-05,West,Accessories,Phone Case,Owen Fitzgerald,4,3157.4,2398.94
2024-02-05,Southeast,Accessories,Wireless Mouse,Owen Fitzgerald,2,3188.22,2240.43
2024-02-06,Midwest,Laptops,ThinkPad X1,Julia Park,3,781.92,445.63
2024-02-06,Northeast,Laptops,MacBook Air,Owen Fitzgerald,3,2686.29,1755.04
2024-02-08,Midwest,Laptops,MacBook Air,Julia Park,3,1821.9,1084.25
2024-02-08,West,Phones,Pixel 8,Nadia Farouk,7,1850.87,1201.75
2024-02-10,Midwest,Phones,Pixel 8,Nadia Farouk,3,1277.16,771.83
2024-02-10,West,Accessories,Wireless Mouse,Owen Fitzgerald,4,5216.48,3246.83
2024-02-10,Midwest,Laptops,ThinkPad X1,Carlos Mendes,2,683.9,524.52
2024-02-11,Southeast,Phones,Pixel 8,Carlos Mendes,6,6364.98,4056.64
2024-02-11,Southeast,Laptops,MacBook Air,Julia Park,6,5802.66,3460.0
2024-02-11,Northeast,Laptops,ThinkPad X1,Carlos Mendes,4,1024.72,773.26
2024-02-12,Northeast,Phones,Pixel 8,Owen Fitzgerald,1,1140.39,735.14
2024-02-13,Northeast,Phones,Galaxy S24,Carlos Mendes,3,2517.15,1745.71
2024-02-14,Northeast,Laptops,Dell XPS 13,Owen Fitzgerald,5,8269.85,4867.4
2024-02-15,Northeast,Accessories,Wireless Mouse,Carlos Mendes,5,7946.3,6283.41
2024-02-16,Northeast,Phones,iPhone 15,Nadia Farouk,1,1060.75,677.4
2024-02-16,Southeast,Accessories,USB-C Cable,Nadia Farouk,6,1281.42,869.2
2024-02-16,Midwest,Laptops,MacBook Air,Julia Park,7,10460.59,8043.42
2024-02-17,Midwest,Laptops,ThinkPad X1,Carlos Mendes,5,8164.05,6029.92
2024-02-18,Southeast,Laptops,MacBook Air,Owen Fitzgerald,5,532.55,350.34
2024-02-19,Southeast,Laptops,MacBook Air,Owen Fitzgerald,5,389.9,290.56
2024-02-19,West,Accessories,Phone Case,Nadia Farouk,6,4947.3,3645.94
2024-02-20,West,Laptops,ThinkPad X1,Owen Fitzgerald,4,6384.88,3583.73
2024-02-23,Northeast,Laptops,Dell XPS 13,Julia Park,6,4716.06,3325.56
2024-02-24,Northeast,Laptops,ThinkPad X1,Owen Fitzgerald,3,2553.69,1506.03
2024-02-26,Midwest,Laptops,Dell XPS 13,Carlos Mendes,7,10184.51,6768.94
2024-02-27,Southeast,Phones,Pixel 8,Owen Fitzgerald,7,8401.61,5765.6
2024-02-28,Southeast,Phones,Pixel 8,Nadia Farouk,7,8003.94,6323.9
2024-02-29,Southeast,Phones,iPhone 15,Julia Park,2,805.5,563.97
2024-03-01,Midwest,Laptops,Dell XPS 13,Owen Fitzgerald,6,1567.32,888.79
2024-03-01,West,Laptops,MacBook Air,Julia Park,4,3906.92,2220.36
2024-03-02,Midwest,Accessories,Wireless Mouse,Owen Fitzgerald,3,2674.59,2101.93
2024-03-03,Northeast,Laptops,Dell XPS 13,Julia Park,2,2829.68,1827.82
2024-03-03,Southeast,Phones,Galaxy S24,Nadia Farouk,5,5588.3,4131.12
2024-03-04,West,Phones,iPhone 15,Nadia Farouk,3,3830.01,2981.63
2024-03-05,Midwest,Phones,Galaxy S24,Julia Park,7,6632.64,3809.42
2024-03-05,Midwest,Phones,Galaxy S24,Carlos Mendes,6,2656.86,2103.85
2024-03-06,Southeast,Phones,Galaxy S24,Carlos Mendes,4,2883.2,2301.79
2024-03-06,Southeast,Phones,Pixel 8,Carlos Mendes,7,4374.93,2687.1
2024-03-07,Northeast,Phones,iPhone 15,Nadia Farouk,6,9793.56,7293.65
2024-03-09,Midwest,Phones,Galaxy S24,Julia Park,8,7903.28,6136.37
2024-03-10,Northeast,Accessories,Phone Case,Owen Fitzgerald,2,2185.48,1602.47
2024-03-10,Midwest,Accessories,Wireless Mouse,Julia Park,6,9374.28,5971.59
2024-03-11,Midwest,Phones,iPhone 15,Carlos Mendes,2,879.98,644.82
2024-03-12,Northeast,Accessories,Wireless Mouse,Nadia Farouk,5,2372.95,1313.82
2024-03-12,Northeast,Phones,iPhone 15,Julia Park,3,2514.69,1849.03
2024-03-12,Midwest,Laptops,MacBook Air,Nadia Farouk,8,7360.4,4355.42
2024-03-13,Southeast,Accessories,Wireless Mouse,Carlos Mendes,6,10007.4,7654.12
2024-03-13,Southeast,Phones,Galaxy S24,Nadia Farouk,2,1453.34,989.12
2024-03-13,Southeast,Accessories,Wireless Mouse,Owen Fitzgerald,5,4181.85,2422.58
2024-03-14,Midwest,Phones,Galaxy S24,Owen Fitzgerald,6,224.76,135.51
2024-03-15,West,Phones,iPhone 15,Nadia Farouk,7,7752.08,4810.83
2024-03-15,Northeast,Accessories,Wireless Mouse,Carlos Mendes,3,1800.72,1375.73
2024-03-15,Southeast,Phones,Pixel 8,Nadia Farouk,5,6708.95,5232.34
2024-03-15,West,Laptops,ThinkPad X1,Julia Park,5,7402.45,4688.93
2024-03-16,Northeast,Laptops,MacBook Air,Nadia Farouk,3,4938.48,3722.19
2024-03-17,Northeast,Accessories,Phone Case,Owen Fitzgerald,3,2781.84,2145.84
2024-03-17,West,Laptops,ThinkPad X1,Julia Park,8,6835.28,4067.24
2024-03-17,Midwest,Phones,Pixel 8,Carlos Mendes,6,9983.04,6879.08
2024-03-19,Southeast,Laptops,MacBook Air,Carlos Mendes,8,13988.08,8542.85
2024-03-19,West,Laptops,ThinkPad X1,Julia Park,2,3194.62,2317.12
2024-03-19,Northeast,Phones,iPhone 15,Nadia Farouk,4,1928.12,1498.48
2024-03-21,Northeast,Phones,iPhone 15,Julia Park,4,2108.44,1280.95
2024-03-22,Northeast,Accessories,Phone Case,Nadia Farouk,2,2691.06,1809.72
2024-03-24,Northeast,Laptops,Dell XPS 13,Nadia Farouk,7,5128.13,4066.37
2024-03-24,Midwest,Laptops,Dell XPS 13,Julia Park,2,2287.06,1711.35
2024-03-24,Southeast,Accessories,USB-C Cable,Owen Fitzgerald,4,3420.96,1942.14
2024-03-26,Southeast,Laptops,Dell XPS 13,Carlos Mendes,1,71.1,44.71
2024-03-26,Midwest,Accessories,Phone Case,Carlos Mendes,7,3962.84,2560.93
2024-03-27,Northeast,Laptops,MacBook Air,Nadia Farouk,1,670.45,393.97
2024-03-28,Midwest,Accessories,Wireless Mouse,Nadia Farouk,5,6193.1,4012.67
2024-03-28,Southeast,Laptops,MacBook Air,Carlos Mendes,1,1683.03,1017.26
2024-03-29,Midwest,Phones,Pixel 8,Owen Fitzgerald,3,2892.57,2142.82
2024-04-01,Southeast,Accessories,Phone Case,Nadia Farouk,3,4188.12,2616.58
2024-04-01,West,Laptops,ThinkPad X1,Julia Park,5,1695.7,1172.98
2024-04-02,Midwest,Laptops,MacBook Air,Nadia Farouk,3,1199.97,778.84
2024-04-02,Northeast,Phones,iPhone 15,Julia Park,1,410.97,278.48
2024-04-02,West,Phones,Galaxy S24,Carlos Mendes,2,1862.82,1211.16
2024-04-03,Midwest,Accessories,Wireless Mouse,Nadia Farouk,2,306.7,181.75
2024-04-03,Northeast,Accessories,USB-C Cable,Owen Fitzgerald,3,5252.07,4019.22
2024-04-03,West,Phones,iPhone 15,Nadia Farouk,2,771.88,459.1
2024-04-03,Northeast,Accessories,Wireless Mouse,Nadia Farouk,1,1113.89,703.82
2024-04-04,Northeast,Accessories,Phone Case,Owen Fitzgerald,7,3385.83,2276.27
2024-04-05,Northeast,Laptops,MacBook Air,Nadia Farouk,1,123.11,97.75
2024-04-06,Midwest,Laptops,ThinkPad X1,Carlos Mendes,1,1464.88,1164.07
2024-04-06,Southeast,Laptops,ThinkPad X1,Julia Park,4,5461.84,3615.08
2024-04-07,West,Phones,Galaxy S24,Owen Fitzgerald,3,3885.03,2980.63
2024-04-08,Midwest,Phones,Pixel 8,Julia Park,1,1305.99,817.56
2024-04-08,West,Phones,Pixel 8,Nadia Farouk,6,917.88,728.87
2024-04-10,Northeast,Accessories,Phone Case,Nadia Farouk,8,7275.68,4977.98
2024-04-11,Northeast,Laptops,Dell XPS 13,Nadia Farouk,6,9612.9,5531.36
2024-04-11,Northeast,Laptops,ThinkPad X1,Nadia Farouk,7,3062.22,2086.44
2024-04-12,Southeast,Laptops,ThinkPad X1,Nadia Farouk,8,3601.28,2139.3
2024-04-12,Northeast,Laptops,MacBook Air,Nadia Farouk,4,4112.08,3096.75
2024-04-12,Midwest,Accessories,USB-C Cable,Owen Fitzgerald,8,2762.4,2208.22
2024-04-13,Southeast,Phones,Galaxy S24,Carlos Mendes,3,2480.28,1722.18
2024-04-13,Southeast,Phones,Pixel 8,Julia Park,8,11881.36,8514.07
2024-04-13,Midwest,Accessories,USB-C Cable,Carlos Mendes,2,950.78,754.09
2024-04-14,Southeast,Phones,Pixel 8,Owen Fitzgerald,8,8508.48,5849.57
2024-04-15,West,Accessories,Phone Case,Nadia Farouk,8,4132.16,2458.58
2024-04-16,Midwest,Laptops,Dell XPS 13,Owen Fitzgerald,1,709.8,517.58
2024-04-16,Southeast,Accessories,Wireless Mouse,Julia Park,6,6410.76,4614.69
2024-04-17,West,Accessories,Phone Case,Owen Fitzgerald,2,2139.88,1303.92
2024-04-18,Northeast,Phones,Pixel 8,Julia Park,8,13400.72,7968.8
2024-04-19,Midwest,Phones,Pixel 8,Owen Fitzgerald,5,8719.7,6493.25
2024-04-20,Midwest,Accessories,Phone Case,Owen Fitzgerald,1,1118.18,730.99
2024-04-20,Midwest,Accessories,USB-C Cable,Carlos Mendes,8,1353.12,950.83
2024-04-20,Southeast,Phones,iPhone 15,Julia Park,3,1585.11,883.76
2024-04-21,Northeast,Accessories,USB-C Cable,Owen Fitzgerald,2,3005.38,1765.7
2024-04-22,West,Accessories,USB-C Cable,Nadia Farouk,4,4952.88,3091.79
2024-04-23,Northeast,Phones,iPhone 15,Carlos Mendes,1,664.01,405.33
2024-04-24,Midwest,Phones,Pixel 8,Nadia Farouk,7,5255.18,3562.2
2024-04-25,West,Laptops,MacBook Air,Carlos Mendes,5,5178.1,3086.03
2024-04-26,Midwest,Laptops,MacBook Air,Nadia Farouk,8,1797.12,1087.51
2024-04-26,Southeast,Laptops,ThinkPad X1,Nadia Farouk,5,1333.0,900.39
2024-04-27,Southeast,Laptops,Dell XPS 13,Nadia Farouk,5,8965.1,6943.89
2024-04-27,Northeast,Laptops,Dell XPS 13,Nadia Farouk,5,6777.45,4208.95
2024-04-27,West,Laptops,ThinkPad X1,Carlos Mendes,4,1207.32,798.56
2024-04-28,Southeast,Phones,iPhone 15,Carlos Mendes,6,4949.04,3098.38
2024-04-28,Southeast,Accessories,Wireless Mouse,Owen Fitzgerald,2,117.82,80.98
2024-04-29,Southeast,Laptops,Dell XPS 13,Carlos Mendes,5,5429.65,4220.47
2024-04-30,Northeast,Laptops,Dell XPS 13,Carlos Mendes,6,3032.1,2235.22
2024-04-30,West,Laptops,MacBook Air,Owen Fitzgerald,5,8952.25,5192.68
2024-04-30,Northeast,Phones,Pixel 8,Carlos Mendes,6,7080.06,4196.02
2024-04-30,Southeast,Laptops,ThinkPad X1,Nadia Farouk,5,3429.35,2154.67
2024-04-30,West,Phones,Pixel 8,Nadia Farouk,7,9265.83,6700.15
2024-05-02,Southeast,Laptops,Dell XPS 13,Owen Fitzgerald,5,4718.1,3562.64
2024-05-03,Southeast,Phones,iPhone 15,Julia Park,1,1022.27,737.25
2024-05-04,West,Accessories,USB-C Cable,Julia Park,1,1630.02,919.31
2024-05-06,Midwest,Laptops,Dell XPS 13,Julia Park,8,2803.52,1730.43
2024-05-06,Southeast,Accessories,USB-C Cable,Julia Park,4,4347.76,2458.36
2024-05-08,Midwest,Phones,Pixel 8,Julia Park,6,323.46,192.48
2024-05-08,Midwest,Laptops,MacBook Air,Julia Park,8,4743.52,2867.03
2024-05-08,Southeast,Accessories,Wireless Mouse,Carlos Mendes,3,2080.71,1634.75
2024-05-09,Midwest,Laptops,Dell XPS 13,Julia Park,3,1607.43,1205.3
2024-05-09,Midwest,Phones,Pixel 8,Nadia Farouk,8,6336.0,4543.94
2024-05-09,Southeast,Accessories,Wireless Mouse,Owen Fitzgerald,3,4841.94,3235.03
2024-05-11,Southeast,Laptops,Dell XPS 13,Nadia Farouk,8,14161.84,10431.93
2024-05-12,Midwest,Accessories,Wireless Mouse,Julia Park,8,3789.76,2139.55
2024-05-12,West,Phones,Galaxy S24,Owen Fitzgerald,4,5451.04,3603.02
2024-05-12,Northeast,Accessories,Wireless Mouse,Julia Park,2,617.14,487.6
2024-05-13,Northeast,Phones,Pixel 8,Nadia Farouk,8,6970.8,4837.65
2024-05-13,Southeast,Phones,iPhone 15,Nadia Farouk,7,1542.66,992.82
2024-05-13,Northeast,Phones,Galaxy S24,Owen Fitzgerald,5,7653.45,4457.49
2024-05-13,Southeast,Phones,iPhone 15,Nadia Farouk,6,1924.74,1440.04
2024-05-16,West,Accessories,USB-C Cable,Carlos Mendes,8,1116.0,836.0
2024-05-17,Midwest,Accessories,Phone Case,Julia Park,1,1616.34,1225.03
2024-05-18,Southeast,Accessories,USB-C Cable,Nadia Farouk,3,699.93,487.32
2024-05-18,West,Phones,iPhone 15,Carlos Mendes,6,6586.14,4671.98
2024-05-19,West,Laptops,ThinkPad X1,Carlos Mendes,2,148.04,111.47
2024-05-21,Midwest,Laptops,MacBook Air,Owen Fitzgerald,3,1235.34,709.04
2024-05-21,Northeast,Accessories,USB-C Cable,Carlos Mendes,4,5512.48,3196.55
2024-05-21,Northeast,Laptops,MacBook Air,Nadia Farouk,3,1840.8,1188.78
2024-05-21,Northeast,Laptops,Dell XPS 13,Nadia Farouk,4,7141.36,5626.45
2024-05-22,Southeast,Accessories,Phone Case,Carlos Mendes,1,1291.78,847.4
2024-05-24,Midwest,Phones,Pixel 8,Nadia Farouk,4,5583.92,3818.66
2024-05-25,Midwest,Laptops,MacBook Air,Carlos Mendes,2,2114.9,1676.87
2024-05-28,Southeast,Accessories,Phone Case,Julia Park,6,3174.12,2186.41
2024-05-29,Southeast,Laptops,MacBook Air,Julia Park,5,5144.65,3950.59
2024-05-30,Southeast,Laptops,Dell XPS 13,Carlos Mendes,3,5348.73,3997.09
2024-05-31,Southeast,Phones,Galaxy S24,Julia Park,3,3539.64,2079.55
2024-05-31,Midwest,Phones,Pixel 8,Carlos Mendes,4,3509.0,2381.44
2024-06-02,Northeast,Accessories,Wireless Mouse,Carlos Mendes,6,8374.08,6106.81
2024-06-03,West,Accessories,Phone Case,Nadia Farouk,3,2196.75,1351.79
2024-06-04,Northeast,Accessories,USB-C Cable,Carlos Mendes,2,2818.28,1667.35
2024-06-04,Southeast,Accessories,Wireless Mouse,Nadia Farouk,6,5632.98,3896.38
2024-06-06,West,Laptops,MacBook Air,Julia Park,5,989.6,571.11
2024-06-08,Southeast,Laptops,MacBook Air,Julia Park,2,3358.82,2599.3
2024-06-08,Northeast,Laptops,Dell XPS 13,Owen Fitzgerald,2,3503.54,2124.1
2024-06-09,Southeast,Laptops,MacBook Air,Carlos Mendes,6,1115.88,727.51
2024-06-10,West,Accessories,Wireless Mouse,Julia Park,2,2896.72,1896.65
2024-06-11,Midwest,Accessories,Phone Case,Nadia Farouk,6,670.92,490.76
2024-06-11,West,Phones,Galaxy S24,Nadia Farouk,1,987.94,630.29
2024-06-12,Northeast,Accessories,Phone Case,Owen Fitzgerald,3,2109.99,1391.2
2024-06-12,Southeast,Laptops,MacBook Air,Nadia Farouk,1,110.71,61.41
2024-06-12,West,Accessories,Wireless Mouse,Owen Fitzgerald,7,10196.55,8079.27
2024-06-13,Midwest,Laptops,ThinkPad X1,Carlos Mendes,6,1952.1,1491.36
2024-06-14,West,Laptops,Dell XPS 13,Carlos Mendes,5,522.95,401.95
2024-06-14,Southeast,Phones,Galaxy S24,Julia Park,6,2796.24,1540.16
2024-06-15,Southeast,Accessories,USB-C Cable,Carlos Mendes,6,477.72,375.22
2024-06-16,Northeast,Laptops,Dell XPS 13,Owen Fitzgerald,4,4600.72,3127.33
2024-06-17,Southeast,Accessories,Wireless Mouse,Nadia Farouk,2,2054.7,1196.78
2024-06-17,Southeast,Accessories,Wireless Mouse,Nadia Farouk,7,2818.97,1593.91
2024-06-17,Midwest,Laptops,Dell XPS 13,Owen Fitzgerald,2,3236.24,2551.28
2024-06-18,Midwest,Phones,iPhone 15,Owen Fitzgerald,2,492.82,275.17
2024-06-18,West,Accessories,Phone Case,Owen Fitzgerald,4,1830.08,1048.56
2024-06-19,West,Phones,Pixel 8,Carlos Mendes,7,6090.77,4467.24
2024-06-20,West,Laptops,Dell XPS 13,Owen Fitzgerald,4,3696.84,2226.56
2024-06-20,Northeast,Accessories,USB-C Cable,Julia Park,4,5994.28,3555.9
2024-06-21,Northeast,Laptops,ThinkPad X1,Julia Park,1,933.35,613.08
2024-06-21,Southeast,Accessories,Wireless Mouse,Owen Fitzgerald,7,7708.68,4687.98
2024-06-21,Northeast,Phones,Pixel 8,Carlos Mendes,2,2390.58,1684.1
2024-06-21,Midwest,Laptops,MacBook Air,Carlos Mendes,3,1149.69,739.65
2024-06-21,Northeast,Phones,iPhone 15,Julia Park,4,152.28,95.46
2024-06-22,West,Laptops,ThinkPad X1,Nadia Farouk,2,498.22,379.65
2024-06-22,Southeast,Accessories,USB-C Cable,Julia Park,3,3018.45,2233.07
2024-06-23,Southeast,Accessories,USB-C Cable,Julia Park,2,2799.08,2194.08
2024-06-23,Northeast,Accessories,Phone Case,Owen Fitzgerald,5,3901.85,2709.46
2024-06-24,Southeast,Accessories,USB-C Cable,Nadia Farouk,6,1391.58,897.57
2024-06-24,Midwest,Phones,iPhone 15,Owen Fitzgerald,3,3902.61,3062.69
2024-06-25,Midwest,Phones,Pixel 8,Carlos Mendes,3,2988.03,2365.19
2024-06-25,Northeast,Phones,Galaxy S24,Nadia Farouk,7,1942.5,1364.79
2024-06-25,Northeast,Laptops,ThinkPad X1,Julia Park,6,527.64,392.83
2024-06-26,Northeast,Accessories,USB-C Cable,Nadia Farouk,7,9447.48,7421.68
2024-06-26,Midwest,Laptops,Dell XPS 13,Nadia Farouk,6,7428.0,4847.48
2024-06-26,West,Accessories,Wireless Mouse,Nadia Farouk,2,1786.84,1188.8
2024-06-28,Northeast,Phones,Pixel 8,Nadia Farouk,5,3978.25,2430.68
2024-06-29,Northeast,Accessories,Phone Case,Owen Fitzgerald,5,1731.65,1046.86
2024-06-30,Midwest,Laptops,ThinkPad X1,Owen Fitzgerald,7,10375.68,8289.26
2024-06-30,Southeast,Phones,Galaxy S24,Julia Park,4,3969.84,2715.33
2024-06-30,West,Accessories,USB-C Cable,Carlos Mendes,7,11777.85,8945.63
2024-07-01,Northeast,Laptops,Dell XPS 13,Nadia Farouk,3,294.66,198.69
2024-07-01,Northeast,Accessories,USB-C Cable,Julia Park,8,8660.48,6339.92
2024-07-02,West,Accessories,Wireless Mouse,Julia Park,6,6669.96,5217.69
2024-07-04,Midwest,Phones,Pixel 8,Nadia Farouk,2,2772.48,1695.82
2024-07-06,West,Phones,iPhone 15,Carlos Mendes,8,1733.76,1019.48
2024-07-08,West,Laptops,MacBook Air,Owen Fitzgerald,8,454.16,261.68
2024-07-09,Southeast,Accessories,USB-C Cable,Julia Park,1,917.02,625.52
2024-07-10,Northeast,Accessories,Wireless Mouse,Nadia Farouk,1,1059.12,763.52
2024-07-10,Southeast,Laptops,Dell XPS 13,Julia Park,4,4156.04,2330.99
2024-07-11,Northeast,Laptops,Dell XPS 13,Julia Park,7,1632.05,1127.15
2024-07-11,West,Phones,iPhone 15,Nadia Farouk,2,2971.02,1723.06
2024-07-13,Northeast,Laptops,MacBook Air,Julia Park,5,4813.7,3082.88
2024-07-13,Midwest,Laptops,Dell XPS 13,Carlos Mendes,8,2544.08,1416.62
2024-07-13,Northeast,Accessories,Phone Case,Carlos Mendes,7,3905.93,2402.4
2024-07-13,Southeast,Accessories,USB-C Cable,Carlos Mendes,4,4082.44,2456.26
2024-07-15,Northeast,Phones,Pixel 8,Nadia Farouk,6,9961.68,5598.52
2024-07-17,West,Accessories,USB-C Cable,Julia Park,4,5684.0,4523.77
2024-07-19,Northeast,Phones,Pixel 8,Carlos Mendes,7,6251.91,3657.61
2024-07-21,Northeast,Laptops,ThinkPad X1,Nadia Farouk,7,3932.32,2379.81
2024-07-22,West,Accessories,Wireless Mouse,Nadia Farouk,2,1246.36,784.73
2024-07-22,Northeast,Laptops,ThinkPad X1,Julia Park,2,1926.24,1068.1
2024-07-23,Southeast,Accessories,Phone Case,Nadia Farouk,8,14287.28,10726.33
2024-07-23,West,Accessories,USB-C Cable,Owen Fitzgerald,8,10893.92,7321.96
2024-07-23,Northeast,Laptops,Dell XPS 13,Carlos Mendes,8,4132.56,2439.82
2024-07-24,Midwest,Laptops,Dell XPS 13,Julia Park,6,8406.3,4988.14
2024-07-24,West,Accessories,Phone Case,Owen Fitzgerald,3,4083.51,2393.19
2024-07-24,West,Laptops,MacBook Air,Nadia Farouk,2,3263.86,2208.37
2024-07-27,Southeast,Accessories,Phone Case,Nadia Farouk,4,6360.16,4872.65
2024-07-27,Northeast,Phones,Galaxy S24,Julia Park,1,538.64,340.06
2024-07-27,West,Phones,Pixel 8,Carlos Mendes,8,2956.8,2095.54
2024-07-28,Midwest,Phones,Galaxy S24,Carlos Mendes,3,4142.13,2303.44
2024-07-29,Southeast,Accessories,Phone Case,Nadia Farouk,7,1654.73,1284.91
2024-07-29,West,Laptops,Dell XPS 13,Nadia Farouk,8,4877.36,2799.64
2024-07-29,Midwest,Phones,Galaxy S24,Julia Park,1,1181.79,657.69
2024-07-29,Northeast,Laptops,MacBook Air,Julia Park,4,3352.92,2238.21
2024-07-30,West,Laptops,Dell XPS 13,Julia Park,8,13556.08,10278.8
2024-07-30,Northeast,Phones,Pixel 8,Julia Park,6,1814.52,1070.79
2024-07-30,Midwest,Laptops,ThinkPad X1,Julia Park,2,335.26,249.58
2024-07-31,Midwest,Phones,iPhone 15,Nadia Farouk,3,1864.38,1246.73
2024-07-31,West,Phones,iPhone 15,Carlos Mendes,2,1707.64,1250.65
2024-07-31,Northeast,Accessories,USB-C Cable,Owen Fitzgerald,1,602.52,337.76
2024-08-01,Northeast,Phones,iPhone 15,Owen Fitzgerald,3,2491.98,1923.64
2024-08-01,Northeast,Phones,Galaxy S24,Owen Fitzgerald,8,3432.08,2159.28
2024-08-02,Northeast,Phones,iPhone 15,Julia Park,5,6216.45,4293.66
2024-08-02,Midwest,Accessories,Wireless Mouse,Julia Park,7,10994.41,8033.04
2024-08-04,Midwest,Phones,Galaxy S24,Nadia Farouk,2,3412.64,2096.33
